country,cases,deaths,recovered
Slovakia,1877605,21224,1856381
Slovenia,1356546,7100,1349424
Solomon Islands,25954,199,0
Somalia,27334,1361,13182
South Africa,4076463,102595,3912506
South Sudan,18819,147,18115
Spain,13914811,121760,13762417
Sri Lanka,672754,16897,655852
St. Barth,5507,6,0
Sudan,63993,5046,58947
Suriname,82588,1408,0
Swaziland,75191,1427,73116
Sweden,2754129,27407,2726492
Switzerland,4453053,14452,4438309
Syrian Arab Republic,57743,3165,54578
Taiwan,10241523,19005,10222518
Tajikistan,17786,125,17264
Tanzania,43223,846,0
Thailand,4770149,34586,4692636
Timor-Leste,23460,138,23102
Togo,39572,290,39281
Tokelau,80,0,0
Tonga,16950,13,15638
Trinidad and Tobago,191496,4390,187078
Tunisia,1153361,29423,0
Turkey,17232066,102174,0
Turks and Caicos Islands,6752,40,6709
Tuvalu,2943,1,0
UAE,1067030,2349,0
UK,24910387,232112,24678275
USA,111820082,1219487,109814428
Uganda,172149,3632,100431
Ukraine,5557995,112418,5445577
Uruguay,1041111,7664,1030944
Uzbekistan,253662,1637,241486
Vanuatu,12019,14,11976
Venezuela,552695,5856,546537
Vietnam,11625195,43206,10640971
Wallis and Futuna,3550,8,438
Western Sahara,10,1,9
Yemen,11945,2159,9124
Zambia,349304,4069,341316
Zimbabwe,266359,5740,258888
